Grade,Subject Group,Subject,Module,Unit,Lesson,Subtopic
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แนวตรง,ปริมาณที่เกี่ยวกับการเคลื่อนที่,ความเร่ง
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แนวตรง,การวิเคราะห์การเคลื่อนที่แนวตรง,การเคลื่อนที่ด้วยความเร็วคงตัว
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แนวตรง,การวิเคราะห์การเคลื่อนที่แนวตรง,การเคลื่อนที่ด้วยความเร่งคงตัว
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แนวตรง,การวิเคราะห์การเคลื่อนที่แนวตรง,การวิเคราะห์การเคลื่อนที่โดยใช้แคลคูลัส
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แนวตรง,การวิเคราะห์การเคลื่อนที่แนวตรง,การตกแบบเสรี
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แนวตรง,การวิเคราะห์การเคลื่อนที่แนวตรง,การวิเคราะห์การเคลื่อนที่ของวัตถุมากกว่าหนึ่งอัน
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แนวตรง,การวิเคราะห์การเคลื่อนที่แนวตรง,ความเร็วสัมพัทธ์
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แนวตรง,การทดลองการเคลื่อนที่แนวตรง,เครื่องเคาะสัญญาณเวลา
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แนวตรง,กราฟของการเคลื่อนที่แนวตรง,กราฟระหว่างตำแหน่งและเวลา (x-t)
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แนวตรง,กราฟของการเคลื่อนที่แนวตรง,กราฟระหว่างความเร็วและเวลา (v-t)
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แนวตรง,กราฟของการเคลื่อนที่แนวตรง,กราฟระหว่างความเร่งและเวลา (a-t)
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,แรงและกฎการเคลื่อนที่,พื้นฐานกฎการเคลื่อนที่,แรง
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,แรงและกฎการเคลื่อนที่,พื้นฐานกฎการเคลื่อนที่,มวล
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,แรงและกฎการเคลื่อนที่,พื้นฐานกฎการเคลื่อนที่,แผนภาพวัตถุอิสระ (Free body diagram)
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,แรงและกฎการเคลื่อนที่,พื้นฐานกฎการเคลื่อนที่,การหาแรงลัพธ์และการแตกแรง
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,แรงและกฎการเคลื่อนที่,กฎการเคลื่อนที่ของนิวตัน,กฎการเคลื่อนที่ข้อที่ 1 ของนิวตัน
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,แรงและกฎการเคลื่อนที่,กฎการเคลื่อนที่ของนิวตัน,กฎการเคลื่อนที่ข้อที่ 2 ของนิวตัน
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,แรงและกฎการเคลื่อนที่,กฎการเคลื่อนที่ของนิวตัน,กฎการเคลื่อนที่ข้อที่ 3 ของนิวตัน
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,แรงและกฎการเคลื่อนที่,การวิเคราะห์ด้วยกฎข้อ 2 ของนิวตัน,ขั้นตอนการวิเคราะห์ด้วยกฎข้อที่ 2
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,แรงและกฎการเคลื่อนที่,การวิเคราะห์ด้วยกฎข้อ 2 ของนิวตัน,ประยุกต์กฎการเคลื่อนที่กับการเคลื่อนที่แนวตรง
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,แรงและกฎการเคลื่อนที่,บทประยุกต์กฎการเคลื่อนที่ของนิวตัน,แรงเสียดทาน
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,แรงและกฎการเคลื่อนที่,บทประยุกต์กฎการเคลื่อนที่ของนิวตัน,พื้นเอียง
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,แรงและกฎการเคลื่อนที่,บทประยุกต์กฎการเคลื่อนที่ของนิวตัน,การชั่งน้ำหนักในลิฟต์
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,แรงและกฎการเคลื่อนที่,บทประยุกต์กฎการเคลื่อนที่ของนิวตัน,รอก
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,แรงและกฎการเคลื่อนที่,บทประยุกต์กฎการเคลื่อนที่ของนิวตัน,แรงดึงดูดระหว่างมวล
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,แรงและกฎการเคลื่อนที่,บทประยุกต์กฎการเคลื่อนที่ของนิวตัน,สนามโน้มถ่วง
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,สมดุลกล,สมดุลต่อการเลื่อนที่,การวิเคราะห์สมดุลต่อการเลื่อนที่
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,สมดุลกล,สมดุลต่อการเลื่อนที่,สมดุลของแรงสามแรง
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,สมดุลกล,สมดุลต่อการหมุน,โมเมนต์
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,สมดุลกล,สมดุลต่อการหมุน,การวิเคราะห์สมดุลต่อการหมุน
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,สมดุลกล,สมดุลต่อการหมุน,แรงคู่ควบ
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,สมดุลกล,เสถียรภาพของวัตถุ,ศูนย์กลางมวลและศูนย์ถ่วง
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,สมดุลกล,เสถียรภาพของวัตถุ,การล้มและการไถล
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,งานและพลังงาน,งานและกำลัง,งานของแรงคงตัว
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,งานและพลังงาน,งานและกำลัง,งานของแรงไม่คงตัว
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,งานและพลังงาน,งานและกำลัง,การหางานจากพื้นที่ใต้กราฟ
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,งานและพลังงาน,งานและกำลัง,กำลัง
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,งานและพลังงาน,พลังงานกล,พลังงานจลน์
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,งานและพลังงาน,พลังงานกล,ทฤษฎีบทงาน-พลังงาน
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,งานและพลังงาน,พลังงานกล,พลังงานศักย์ยืดหยุ่นและแรงสปริง
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,งานและพลังงาน,พลังงานกล,พลังงานศักย์โน้มถ่วง
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,งานและพลังงาน,การอนุรักษ์พลังงาน,งานเนื่องจากแรงอนุรักษ์
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,งานและพลังงาน,การอนุรักษ์พลังงาน,กฎการอนุรักษ์พลังงาน
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,งานและพลังงาน,สมรรถนะเครื่องกล,เครื่องกลอย่างง่าย
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,งานและพลังงาน,สมรรถนะเครื่องกล,การได้เปรียบเชิงกล
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,งานและพลังงาน,สมรรถนะเครื่องกล,ประสิทธิภาพเชิงกล
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,โมเมนตัม,พื้นฐานโมเมนตัม,นิยามโมเมนตัม
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,โมเมนตัม,พื้นฐานโมเมนตัม,การดลและแรงดล
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,โมเมนตัม,กฎการอนุรักษ์โมเมนตัม,การอนุรักษ์โมเมนตัมใน 1 มิติ
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,โมเมนตัม,กฎการอนุรักษ์โมเมนตัม,การอนุรักษ์โมเมนตัมใน 2 มิติ
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,โมเมนตัม,บทประยุกต์โมเมนตัม,การดีดตัวแยกออกจากกันและการระเบิด
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,โมเมนตัม,บทประยุกต์โมเมนตัม,การชนแบบยืดหยุ่น
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,โมเมนตัม,บทประยุกต์โมเมนตัม,การชนแบบไม่ยืดหยุ่น
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,โมเมนตัม,บทประยุกต์โมเมนตัม,การชนแบบไม่ยืดหยุ่นสมบูรณ์
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบโพรเจกไทล์,พื้นฐานการเคลื่อนที่แบบโพรเจกไทล์,การวิเคราะห์การเคลื่อนที่โพรเจกไทล์
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบโพรเจกไทล์,บทประยุกต์การเคลื่อนที่แบบโพรเจกไทล์,ความเร็วต้นอยู่ในแนวแกนเดียว
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบโพรเจกไทล์,บทประยุกต์การเคลื่อนที่แบบโพรเจกไทล์,การเคลื่อนที่แบบโพรเจกไทล์บนพื้นเอียง
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบโพรเจกไทล์,บทประยุกต์การเคลื่อนที่แบบโพรเจกไทล์,การเคลื่อนที่แบบโพรเจกไทล์ของวัตถุมากกว่าหนึ่งอัน
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบวงกลม,ปริมาณที่เกี่ยวกับการเคลื่อนที่แบบวงกลม,การกระจัดเชิงมุม
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบวงกลม,ปริมาณที่เกี่ยวกับการเคลื่อนที่แบบวงกลม,อัตราเร็วเชิงเส้นและอัตราเร็วเชิงมุม
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบวงกลม,ปริมาณที่เกี่ยวกับการเคลื่อนที่แบบวงกลม,คาบและความถี่
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบวงกลม,ปริมาณที่เกี่ยวกับการเคลื่อนที่แบบวงกลม,ความเร่งสู่ศูนย์กลาง
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบวงกลม,ปริมาณที่เกี่ยวกับการเคลื่อนที่แบบวงกลม,แรงเข้าสู่ศูนย์กลาง
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบวงกลม,การวิเคราะห์การเคลื่อนที่แบบวงกลมด้วยอัตราเร็วคงตัว,การเคลื่อนที่แบบวงกลมบนพื้นราบ
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบวงกลม,การวิเคราะห์การเคลื่อนที่แบบวงกลมด้วยอัตราเร็วคงตัว,การเคลื่อนที่แบบวงกลมบนพื้นกรวย
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบวงกลม,การวิเคราะห์การเคลื่อนที่แบบวงกลมด้วยอัตราเร็วคงตัว,การเคลื่อนที่แบบวงกลมบนผนังดิ่ง
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบวงกลม,การวิเคราะห์การเคลื่อนที่แบบวงกลมด้วยอัตราเร็วคงตัว,การพลิกคว่ำและการแหกโค้ง
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบวงกลม,การวิเคราะห์การเคลื่อนที่แบบวงกลมด้วยอัตราเร็วไม่คงตัว,การเคลื่อนที่แบบวงกลมในระนาบดิ่งแบบครบวง
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบวงกลม,การวิเคราะห์การเคลื่อนที่แบบวงกลมด้วยอัตราเร็วไม่คงตัว,การเคลื่อนที่แบบวงกลมบนระนาบดิ่งแบบไม่ครบวง
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบวงกลม,การวิเคราะห์การเคลื่อนที่แบบวงกลมด้วยอัตราเร็วไม่คงตัว,การแกว่งเป็นวงกลมได้ครบวงพอดี
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบวงกลม,ความโน้มถ่วง,การเคลื่อนที่แบบวงกลมของดวงดาวและดาวเทียม
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบวงกลม,ความโน้มถ่วง,กฎของเคพเลอร์
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบวงกลม,ความโน้มถ่วง,พลังงานศักย์โน้มถ่วง
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบฮาร์มอนิกอย่างง่าย,พื้นฐานการเคลื่อนที่แบบฮาร์มอนิกอย่างง่าย,ปริมาณที่เกี่ยวข้องกับการเคลื่อนที่แบบฮาร์มอนิกอย่างง่าย
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบฮาร์มอนิกอย่างง่าย,สมการการเคลื่อนที่แบบฮาร์มอนิกอย่างง่าย,สมการปริมาณการเคลื่อนที่กับเวลาในการเคลื่อนที่แบบฮาร์มอนิกอย่างง่าย
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบฮาร์มอนิกอย่างง่าย,สมการการเคลื่อนที่แบบฮาร์มอนิกอย่างง่าย,การหาค่าสูงสุดและตำแหน่งสูงสุดในสมการของการเคลื่อนที่แบบฮาร์มอนิกอย่างง่าย
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบฮาร์มอนิกอย่างง่าย,สมการการเคลื่อนที่แบบฮาร์มอนิกอย่างง่าย,กราฟของปริมาณการเคลื่อนที่กับเวลาในการเคลื่อนที่แบบฮาร์มอนิกอย่างง่าย
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบฮาร์มอนิกอย่างง่าย,ความถี่เชิงมุมของการเคลื่อนที่แบบฮาร์มอนิกอย่างง่ายรูปแบบต่างๆ,การสั่นของมวลติดสปริง
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบฮาร์มอนิกอย่างง่าย,ความถี่เชิงมุมของการเคลื่อนที่แบบฮาร์มอนิกอย่างง่ายรูปแบบต่างๆ,การแกว่งของลูกตุ้มอย่างง่าย
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบฮาร์มอนิกอย่างง่าย,ความถี่เชิงมุมของการเคลื่อนที่แบบฮาร์มอนิกอย่างง่ายรูปแบบต่างๆ,รูปแบบอื่นๆ ของการเคลื่อนที่แบบฮาร์มอนิกอย่างง่าย
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบฮาร์มอนิกอย่างง่าย,การอนุรักษ์พลังงานในการเคลื่อนที่ฮาร์มอนิกอย่างง่าย,ความสัมพันธ์ระหว่างพลังงานจลน์และพลังงานศักย์
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบฮาร์มอนิกอย่างง่าย,ความถี่ธรรมชาติและการสั่นพ้อง,ความถี่ธรรมชาติ
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบฮาร์มอนิกอย่างง่าย,ความถี่ธรรมชาติและการสั่นพ้อง,การสั่นพ้อง
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบหมุน,ปริมาณที่เกี่ยวข้องกับการหมุน,วัตถุแข็งเกร็ง
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบหมุน,ปริมาณที่เกี่ยวข้องกับการหมุน,ตำแหน่งเชิงมุม
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบหมุน,ปริมาณที่เกี่ยวข้องกับการหมุน,การกระจัดเชิงมุม
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบหมุน,ปริมาณที่เกี่ยวข้องกับการหมุน,ความเร็วเชิงมุม
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบหมุน,ปริมาณที่เกี่ยวข้องกับการหมุน,ความเร่งเชิงมุม
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบหมุน,ปริมาณที่เกี่ยวข้องกับการหมุน,สมการการเคลื่อนที่แบบหมุนรอบแกนหมุน
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบหมุน,ทอร์กและโมเมนต์ความเฉื่อย,ทอร์ก
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบหมุน,ทอร์กและโมเมนต์ความเฉื่อย,โมเมนต์ความเฉื่อย
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบหมุน,ทอร์กและโมเมนต์ความเฉื่อย,การวิเคราะห์การเคลื่อนแบบหมุนรอบแกนหมุน
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบหมุน,พลังงานจลน์ของการเคลื่อนที่แบบหมุน,พลังงานจลน์ของการเคลื่อนที่แบบหมุน
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบหมุน,โมเมนตัมเชิงมุมและอัตราการเปลี่ยนโมเมนตัมเชิงมุม,โมเมนตัมเชิงมุม
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบหมุน,โมเมนตัมเชิงมุมและอัตราการเปลี่ยนโมเมนตัมเชิงมุม,ทอร์กและการเปลี่ยนแปลงโมเมนตัมเชิงมุม
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบหมุน,โมเมนตัมเชิงมุมและอัตราการเปลี่ยนโมเมนตัมเชิงมุม,การอนุรักษ์โมเมนตัมเชิงมุม
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบหมุน,โมเมนตัมเชิงมุมและอัตราการเปลี่ยนโมเมนตัมเชิงมุม,การหมุนแบบควงของลูกข่าง
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบหมุน,การเคลื่อนที่ทั้งแบบเลื่อนที่และแบบหมุน,การกลิ้ง
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แบบหมุน,การเคลื่อนที่ทั้งแบบเลื่อนที่และแบบหมุน,การวิเคราะห์การเคลื่อนที่ทั้งแบบเลื่อนที่และแบบหมุน
